-3	0
-0.828488--0.704131	0.333333-0.380952
-0.828488--0.704131	0.380952-0.428571
-0.828488--0.704131	0.428571-0.476190
-0.828488--0.704131	0.476190-0.523810
-0.828488--0.704131	0.523810-0.571429
-0.828488--0.704131	0.571429-0.619048
-0.828488--0.704131	0.619048-0.666667
-0.828488--0.704131	0.666667-0.714286
-0.828488--0.704131	0.714286-0.761905
-0.828488--0.704131	0.761905-0.809524
-0.828488--0.704131	0.809524-0.857143
-0.828488--0.704131	0.857143-0.904762
-0.828488--0.704131	0.904762-0.952381
-0.828488--0.704131	0.952381-1.000000

-0.704131--0.585388	0.000000-0.043478
-0.704131--0.585388	0.043478-0.086957
-0.704131--0.585388	0.086957-0.130435
-0.704131--0.585388	0.130435-0.173913
-0.704131--0.585388	0.173913-0.217391
-0.704131--0.585388	0.217391-0.260870
-0.704131--0.585388	0.260870-0.304348
-0.704131--0.585388	0.304348-0.347826
-0.704131--0.585388	0.347826-0.391304
-0.704131--0.585388	0.391304-0.434783
-0.704131--0.585388	0.434783-0.478261
-0.704131--0.585388	0.478261-0.521739
-0.704131--0.585388	0.521739-0.565217
-0.704131--0.585388	0.565217-0.608696
-0.704131--0.585388	0.608696-0.652174
-0.704131--0.585388	0.652174-0.695652
-0.704131--0.585388	0.695652-0.739130
-0.704131--0.585388	0.739130-0.782609
-0.704131--0.585388	0.782609-0.826087
-0.704131--0.585388	0.826087-0.869565
-0.704131--0.585388	0.869565-0.913043
-0.704131--0.585388	0.913043-0.956522
-0.704131--0.585388	0.956522-1.000000

-0.585388--0.473366	0.000000-0.041667
-0.585388--0.473366	0.041667-0.083333
-0.585388--0.473366	0.083333-0.125000
-0.585388--0.473366	0.125000-0.166667
-0.585388--0.473366	0.166667-0.208333
-0.585388--0.473366	0.208333-0.250000
-0.585388--0.473366	0.250000-0.291667
-0.585388--0.473366	0.291667-0.333333
-0.585388--0.473366	0.333333-0.375000
-0.585388--0.473366	0.375000-0.416667
-0.585388--0.473366	0.416667-0.458333
-0.585388--0.473366	0.458333-0.500000
-0.585388--0.473366	0.500000-0.541667
-0.585388--0.473366	0.541667-0.583333
-0.585388--0.473366	0.583333-0.625000
-0.585388--0.473366	0.625000-0.666667
-0.585388--0.473366	0.666667-0.708333
-0.585388--0.473366	0.708333-0.750000
-0.585388--0.473366	0.750000-0.791667
-0.585388--0.473366	0.791667-0.833333
-0.585388--0.473366	0.833333-0.875000
-0.585388--0.473366	0.875000-0.916667
-0.585388--0.473366	0.916667-0.958333
-0.585388--0.473366	0.958333-1.000000

-0.473366--0.369266	0.000000-0.040000
-0.473366--0.369266	0.040000-0.080000
-0.473366--0.369266	0.080000-0.120000
-0.473366--0.369266	0.120000-0.160000
-0.473366--0.369266	0.160000-0.200000
-0.473366--0.369266	0.200000-0.240000
-0.473366--0.369266	0.240000-0.280000
-0.473366--0.369266	0.280000-0.320000
-0.473366--0.369266	0.320000-0.360000
-0.473366--0.369266	0.360000-0.400000
-0.473366--0.369266	0.400000-0.440000
